1F路易莎,,甜食＆咖啡品項,50~110,芋泥甜磚壓、黑可可知心貝果、經典起士蛋糕、義式巧克力,,,,,,,,,,,
1FComebuy,,茶飲,50~90,蘋果冰茶、海神奶茶、大麥紅茶加珍珠,,,,,,,,,,,
1F強尼兄弟健康廚房,,健康餐盒,96~145,檸香松阪豬、蒜泥梅花豬、泰式酸辣巴沙魚,,,,,,,,,,,
1F全家,,甚麼都賣,75~125,金萱二十七、茶葉蛋(比7-11好吃太多)、起士火腿麵包、泡菜鮪魚飯糰,,,,,,,,,,,
1F摩斯,,,,,,,,,,,,,,,
1F艾媽咪食品屋,,美式鄉村派,60~70(每片),,,,,,,,,,,,
2F麗宴自助餐,,便當,75~145,菜色蠻多種的但都大致固定，外帶的CP值感覺比較高,,,,,,,,,,,
2F飯飯堂,,飯丸,75~120,脆皮嫩雞玉子豚握飯丸、還有提供給蛋奶素的餐點,,,,,,,,,,,
2F日光料理,,丼飯,110~120,唐揚炸雞丼飯、泡菜豚丼飯,,,,,,,,,,,
2F鬼匠拉麵,,拉麵,120~190,反應蠻兩極的就請各位自行品嘗,,,,,,,,,,,
2F天津蔥抓餅,,蔥抓餅、豆花,30~70,蔥抓餅加起士、乳酪餅、豆漿紅茶,,,,,,,,,,,
